fileID,f1,f2,vot,notes
ne02_kaka,571.58,1418.73,40.42,
ne02_kaka1,878.59,2212.74,2.82,
ne02_kaka2,754.94,1586.32,4.90,
ne02_keke,481.11,2411.84,37.75,
ne02_keke1,444.07,2469.37,48.37,
ne02_keke2,496.71,2245.14,32.92,
ne02_kiki,356.72,2686.45,64.00,
ne02_kiki1,339.51,2812.20,90.46,
ne02_kiki2,326.36,2765.56,57.61,
ne02_koko,558.35,1042.83,2.60,
ne02_koko1,454.24,1018.03,38.57,
ne02_koko2,544.67,1081.52,43.14,
ne02_kuku,934.85,1209.47,61.89,
ne02_kuku1,282.73,1187.11,60.44,
ne02_kuku2,485.48,1140.69,54.86,
ne02_paka,763.18,1640.99,20.05,
ne02_paka1,868.87,1516.74,14.60,
ne02_paka2,852.83,1796.24,11.25,
ne02_peke,551.38,2384.05,47.14,
ne02_peke1,493.16,2479.80,10.39,
ne02_peke2,540.33,2432.88,37.37,
ne02_piki,342.23,2625.23,3.63,
ne02_piki1,382.78,2663.76,14.24,
ne02_piki2,449.61,2638.38,6.43,
ne02_poko,578.15,1034.46,14.21,
ne02_poko1,1042.04,2170.45,23.28,
ne02_poko2,626.02,1586.58,20.95,
ne02_puku,441.56,1060.79,26.20,
ne02_puku1,494.65,1212.33,38.24,
ne02_puku2,450.24,1261.24,27.24,
ne02_taka,844.07,1765.83,23.41,
ne02_taka1,829.80,1585.00,16.54,
ne02_taka2,813.89,1650.08,23.18,
ne02_teke,518.15,2395.18,24.78,
ne02_teke1,484.53,2462.38,34.06,
ne02_teke2,720.82,1790.97,29.31,
ne02_tiki,311.37,2838.62,38.94,
ne02_tiki1,315.52,2739.58,36.78,
ne02_tiki2,303.68,2727.67,32.51,
ne02_toko,490.31,996.78,32.63,
ne02_toko1,600.24,1161.47,43.15,
ne02_toko2,548.92,1017.46,35.67,
ne02_tuku,469.40,1303.68,26.72,
ne02_tuku1,445.03,1124.08,37.78,
ne02_tuku2,780.08,1297.26,55.67,
